TRABAJADOR;REGIONAL;VICEPRESIDENCIA;GERENCIA;FECHA INGRESO;FECHA RETIRO;Año Unificado;EDAD;Rangos Edad;RELACION LABORAL;Rotacion;MOTIVO RETIRO;GENERO;NIVEL DE CARGO;CARGO;ACCESO CREDITO;SGD(1/100);SDG DESCRIPCION;CARGA PRESTACIONAL;;;;;
202050163;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/12/2018;2/12/2020;2020 12:00:00;32;Entre 31 y 35 años;0;Involuntaria;Terminacion No Prorroga                 ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;82;REGULAR; $ 45.632.000 ;;;;;
202051164;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;5/06/2017;4/12/2020;2020 12:00:00;39;Entre 36 y 45 años;0;Involuntaria;Terminacion No Prorroga                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;81;REGULAR; $ 45.632.000 ;;;;;
202052165;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;4/08/2015;31/12/2020;2020 12:00:00;35;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;70;REGULAR; $ 45.632.000 ;;;;;
202053166;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;22/07/2019;21/01/2021;2021 12:00:00;40;Entre 36 y 45 años;0;Involuntaria;Terminacion No Prorroga                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;72;REGULAR; $ 45.632.000 ;;;;;
202054167;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;15/05/2018;25/01/2021;2021 12:00:00;31;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;1;89;BUENO; $ 45.632.000 ;;;;;
202055168;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;4/09/2018;31/01/2021;2021 12:00:00;32;Entre 31 y 35 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;82;REGULAR; $ 45.632.000 ;;;;;
202056169;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/12/2018;19/02/2021;2021 12:00:00;23;Entre 20 y 24 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;0;80;REGULAR; $ 45.632.000 ;;;;;
202057170;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;3/02/2020;22/02/2021;2021 12:00:00;25;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;MASCULINO;Contribuyente;ASESOR COMERCIAL;1;89;BUENO; $ 45.632.000 ;;;;;
202058171;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;9/03/2020;8/03/2021;2021 12:00:00;34;Entre 31 y 35 años;0;Involuntaria;Terminacion de Contrato                 ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;74;REGULAR; $ 45.632.000 ;;;;;
202059172;1. ANTIOQUIA;VP BANCA AGROPECUARIA                   ;REGIONAL COMERCIAL                      ;17/03/2020;11/03/2021;2021 12:00:00;25;Entre 25 y 30 años;0;Voluntaria;Retiro Voluntario                       ;FEMENINO;Contribuyente;ASESOR COMERCIAL;0;70;REGULAR; $ 45.632.000 ;;;;;
